Ensembl Gene ID	Ensembl Transcript ID	Associated Gene Name
ENSG00000162989	ENST00000295101	KCNJ3
ENSG00000208241	ENST00000385506	AC010730.11
ENSG00000109944	ENST00000227349	C11orf63
ENSG00000109944	ENST00000307257	C11orf63
ENSG00000162374	ENST00000371827	ELAVL4
ENSG00000162374	ENST00000357083	ELAVL4
ENSG00000162374	ENST00000371823	ELAVL4
ENSG00000162374	ENST00000371824	ELAVL4
ENSG00000162374	ENST00000371821	ELAVL4
ENSG00000162374	ENST00000371819	ELAVL4
ENSG00000162374	ENST00000396176	ELAVL4
ENSG00000162374	ENST00000396174	ELAVL4
ENSG00000162374	ENST00000396173	ELAVL4
ENSG00000009335	ENST00000348165	UBE3C
ENSG00000009335	ENST00000389103	UBE3C
ENSG00000172578	ENST00000341319	KLHL6
ENSG00000172578	ENST00000392603	KLHL6
ENSG00000172578	ENST00000392602	KLHL6
ENSG00000208385	ENST00000385650	AC092960.3
ENSG00000130675	ENST00000252971	MNX1
ENSG00000207330	ENST00000384600	AL390738.4
ENSG00000167751	ENST00000325321	KLK2
ENSG00000167751	ENST00000358049	KLK2
ENSG00000167751	ENST00000391810	KLK2
ENSG00000176597	ENST00000326505	B3GNT5
ENSG00000109943	ENST00000227348	CRTAM
ENSG00000162373	ENST00000371833	C1orf165
ENSG00000162373	ENST00000294347	C1orf165
ENSG00000211393	ENST00000388658	AP002762.4
ENSG00000198801	ENST00000361859	AL356968.41
ENSG00000146909	ENST00000275820	NOM1
ENSG00000123552	ENST00000327681	USP45
ENSG00000123552	ENST00000392738	USP45
ENSG00000123552	ENST00000369233	USP45
ENSG00000123552	ENST00000329966	USP45
ENSG00000123552	ENST00000369231	USP45
ENSG00000123552	ENST00000369232	USP45
ENSG00000144278	ENST00000392825	GALNT13
ENSG00000177519	ENST00000325926	RPRM
ENSG00000066468	ENST00000369058	FGFR2
ENSG00000066468	ENST00000351936	FGFR2
ENSG00000066468	ENST00000357555	FGFR2
ENSG00000066468	ENST00000369062	FGFR2
ENSG00000066468	ENST00000358487	FGFR2
ENSG00000066468	ENST00000345309	FGFR2
ENSG00000066468	ENST00000369061	FGFR2
ENSG00000066468	ENST00000369060	FGFR2
ENSG00000066468	ENST00000356226	FGFR2
ENSG00000066468	ENST00000369059	FGFR2
ENSG00000066468	ENST00000346997	FGFR2
ENSG00000066468	ENST00000328075	FGFR2
ENSG00000066468	ENST00000336553	FGFR2
ENSG00000066468	ENST00000360144	FGFR2
ENSG00000066468	ENST00000369056	FGFR2
ENSG00000066468	ENST00000359354	FGFR2
ENSG00000154127	ENST00000284273	UBASH3B
ENSG00000177917	ENST00000326446	ARL6IP6
ENSG00000142515	ENST00000326003	KLK3
ENSG00000142515	ENST00000326052	KLK3
ENSG00000142515	ENST00000360617	KLK3
ENSG00000217834	ENST00000402945	RP11-460C6.1
ENSG00000211380	ENST00000388645	AP001835.4
ENSG00000132122	ENST00000371847	SPATA6
ENSG00000132122	ENST00000371843	SPATA6
ENSG00000132122	ENST00000396199	SPATA6
ENSG00000132122	ENST00000371841	SPATA6
ENSG00000211374	ENST00000388639	AP001835.4
ENSG00000213197	ENST00000392840	AC012066.10
ENSG00000199392	ENST00000362522	AC124254.5
ENSG00000132424	ENST00000369239	SFRS18
ENSG00000199020	ENST00000362150	AL132709.5
ENSG00000218492	ENST00000383615	AL845454.6
ENSG00000199780	ENST00000362910	AC096588.1
ENSG00000053524	ENST00000328913	MCF2L2
ENSG00000208403	ENST00000385668	AC104641.11
ENSG00000174562	ENST00000326856	KLK15
ENSG00000174562	ENST00000301421	KLK15
ENSG00000176884	ENST00000371561	GRIN1
ENSG00000176884	ENST00000315048	GRIN1
ENSG00000176884	ENST00000371560	GRIN1
ENSG00000176884	ENST00000371546	GRIN1
ENSG00000176884	ENST00000371553	GRIN1
ENSG00000176884	ENST00000371559	GRIN1
ENSG00000176884	ENST00000371555	GRIN1
ENSG00000176884	ENST00000350902	GRIN1
ENSG00000176884	ENST00000371550	GRIN1
ENSG00000176884	ENST00000355410	GRIN1
ENSG00000117834	ENST00000236495	SLC5A9
ENSG00000204015	ENST00000371862	AL356289.6
ENSG00000078081	ENST00000265598	LAMP3
ENSG00000167748	ENST00000301420	KLK1
ENSG00000122966	ENST00000392521	CIT
ENSG00000122966	ENST00000261833	CIT
ENSG00000122966	ENST00000392520	CIT
ENSG00000186790	ENST00000335071	FOXE3
ENSG00000167747	ENST00000391812	C19orf48
ENSG00000167747	ENST00000345523	C19orf48
ENSG00000167747	ENST00000391811	C19orf48
ENSG00000111725	ENST00000229328	PRKAB1
ENSG00000146267	ENST00000389677	C6orf168
ENSG00000168768	ENST00000305402	AL591803.10
ENSG00000142513	ENST00000270593	ACPT
ENSG00000142513	ENST00000270594	ACPT
ENSG00000162368	ENST00000371873	CMPK1
ENSG00000162368	ENST00000371871	CMPK1
ENSG00000162368	ENST00000333103	CMPK1
ENSG00000162368	ENST00000371870	CMPK1
ENSG00000142511	ENST00000270590	GPR32
ENSG00000183273	ENST00000327554	CCDC60
ENSG00000162980	ENST00000295087	ARL5A
ENSG00000221301	ENST00000408374	AC116562.6
ENSG00000213144	ENST00000392530	AC084880.12
ENSG00000137642	ENST00000260197	SORL1
ENSG00000185932	ENST00000329573	AP002959.2
ENSG00000105472	ENST00000250340	CLEC11A
ENSG00000120008	ENST00000263461	WDR11
ENSG00000220842	ENST00000404812	AC073587.6
ENSG00000105983	ENST00000316198	LMBR1
ENSG00000105983	ENST00000353442	LMBR1
ENSG00000105983	ENST00000354505	LMBR1
ENSG00000105983	ENST00000347571	LMBR1
ENSG00000105983	ENST00000359422	LMBR1
ENSG00000152137	ENST00000281938	HSPB8
ENSG00000112234	ENST00000229971	FBXL4
ENSG00000112234	ENST00000369244	FBXL4
ENSG00000209188	ENST00000386453	AC087885.17
ENSG00000109929	ENST00000264027	SC5DL
ENSG00000109929	ENST00000392789	SC5DL
ENSG00000217453	ENST00000407884	RP11-54O7.10
ENSG00000184486	ENST00000328345	POU3F2
ENSG00000177239	ENST00000371589	MAN1B1
ENSG00000177239	ENST00000371587	MAN1B1
ENSG00000177239	ENST00000392853	MAN1B1
ENSG00000109927	ENST00000264037	TECTA
ENSG00000109927	ENST00000392793	TECTA
ENSG00000197355	ENST00000371593	UAP1L1
ENSG00000197355	ENST00000360271	UAP1L1
ENSG00000078070	ENST00000265594	MCCC1
ENSG00000078070	ENST00000392616	MCCC1
ENSG00000154114	ENST00000284259	TBCEL
ENSG00000186193	ENST00000359018	C9orf140
ENSG00000161681	ENST00000359082	SHANK1
ENSG00000161681	ENST00000293441	SHANK1
ENSG00000161681	ENST00000391814	SHANK1
ENSG00000161681	ENST00000391813	SHANK1
ENSG00000043093	ENST00000292782	DCUN1D1
ENSG00000107651	ENST00000369075	SEC23IP
ENSG00000146263	ENST00000275053	C6orf167
ENSG00000146263	ENST00000369251	C6orf167
ENSG00000213023	ENST00000407994	SYT3
ENSG00000213023	ENST00000338916	SYT3
ENSG00000054179	ENST00000355097	ENTPD2
ENSG00000054179	ENST00000312665	ENTPD2
ENSG00000123473	ENST00000371877	STIL
ENSG00000123473	ENST00000337817	STIL
ENSG00000123473	ENST00000360380	STIL
ENSG00000123473	ENST00000243182	STIL
ENSG00000123473	ENST00000371874	STIL
ENSG00000123473	ENST00000396221	STIL
ENSG00000135090	ENST00000392533	TAOK3
ENSG00000135090	ENST00000359811	TAOK3
ENSG00000204653	ENST00000376916	AC008743.9
ENSG00000204653	ENST00000389208	AC008743.9
ENSG00000164690	ENST00000297261	SHH
ENSG00000089220	ENST00000261313	PEBP1
ENSG00000162367	ENST00000371883	TAL1
ENSG00000162367	ENST00000371884	TAL1
ENSG00000162367	ENST00000294339	TAL1
ENSG00000211181	ENST00000388446	AL158014.20
ENSG00000058063	ENST00000323116	ATP11B
ENSG00000080345	ENST00000359799	RIF1
ENSG00000080345	ENST00000336130	RIF1
ENSG00000080345	ENST00000243326	RIF1
ENSG00000208242	ENST00000385507	AC009311.3
ENSG00000208414	ENST00000385679	AC007547.26
ENSG00000162366	ENST00000294338	PDZK1IP1
ENSG00000162366	ENST00000371885	PDZK1IP1
ENSG00000176871	ENST00000315436	WSB2
ENSG00000112218	ENST00000229955	GPR63
ENSG00000112218	ENST00000369268	GPR63
ENSG00000123610	ENST00000243347	TNFAIP6
ENSG00000137709	ENST00000260264	POU2F3
ENSG00000213183	ENST00000392775	AL355143.17
ENSG00000184232	ENST00000328965	OAF
ENSG00000180549	ENST00000314412	FUT7
ENSG00000123609	ENST00000243346	NMI
ENSG00000112214	ENST00000326771	FHL5
ENSG00000184863	ENST00000392761	RBM33
ENSG00000184863	ENST00000287912	RBM33
ENSG00000184863	ENST00000392759	RBM33
ENSG00000184863	ENST00000401878	RBM33
ENSG00000184863	ENST00000307403	RBM33
ENSG00000184863	ENST00000392755	RBM33
ENSG00000184863	ENST00000341148	RBM33
ENSG00000180539	ENST00000314330	C9orf139
ENSG00000184898	ENST00000331426	RBM43
ENSG00000213201	ENST00000392850	AC018731.5
ENSG00000142530	ENST00000391816	FAM71E1
ENSG00000142530	ENST00000270620	FAM71E1
ENSG00000111445	ENST00000229043	RFC5
ENSG00000111445	ENST00000392542	RFC5
ENSG00000169583	ENST00000371616	CLIC3
ENSG00000137699	ENST00000341846	TRIM29
ENSG00000198825	ENST00000369083	INPP5F
ENSG00000198825	ENST00000361976	INPP5F
ENSG00000198825	ENST00000369081	INPP5F
ENSG00000198825	ENST00000369080	INPP5F
ENSG00000162365	ENST00000371891	CYP4A22
ENSG00000162365	ENST00000371890	CYP4A22
ENSG00000162365	ENST00000294337	CYP4A22
ENSG00000186480	ENST00000344756	INSIG1
ENSG00000186480	ENST00000340368	INSIG1
ENSG00000186480	ENST00000342407	INSIG1
ENSG00000148362	ENST00000371620	C9orf142
ENSG00000115963	ENST00000263895	RND3
ENSG00000115963	ENST00000375734	RND3
ENSG00000151929	ENST00000369085	BAG3
ENSG00000208244	ENST00000385509	AC093738.2
ENSG00000014123	ENST00000369278	KIAA0776
ENSG00000157219	ENST00000287907	HTR5A
ENSG00000203335	ENST00000366161	AC006019.2
ENSG00000186160	ENST00000334194	CYP4Z1
ENSG00000172461	ENST00000302103	FUT9
ENSG00000209248	ENST00000386513	AL034348.5
ENSG00000114416	ENST00000357559	FXR1
ENSG00000114416	ENST00000392639	FXR1
ENSG00000114416	ENST00000305586	FXR1
ENSG00000114416	ENST00000392637	FXR1
ENSG00000172469	ENST00000358812	MANEA
ENSG00000172469	ENST00000369293	MANEA
ENSG00000107317	ENST00000224167	PTGDS
ENSG00000107317	ENST00000371625	PTGDS
ENSG00000107317	ENST00000371623	PTGDS
ENSG00000168288	ENST00000303319	C2orf25
ENSG00000168288	ENST00000375738	C2orf25
ENSG00000209311	ENST00000386576	AL078595.12
ENSG00000135108	ENST00000330622	FBXO21
ENSG00000135108	ENST00000257563	FBXO21
ENSG00000209149	ENST00000386414	AL078595.12
ENSG00000154096	ENST00000284240	THY1
ENSG00000186377	ENST00000371901	CYP4X1
ENSG00000187123	ENST00000334166	LYPD6
ENSG00000187123	ENST00000392854	LYPD6
ENSG00000088992	ENST00000392545	TESC
ENSG00000088992	ENST00000335209	TESC
ENSG00000218198	ENST00000402278	AC105402.5
ENSG00000184925	ENST00000371633	LCN12
ENSG00000184925	ENST00000330585	LCN12
ENSG00000184925	ENST00000371630	LCN12
ENSG00000184925	ENST00000371632	LCN12
ENSG00000151923	ENST00000369093	TIAL1
ENSG00000151923	ENST00000369092	TIAL1
ENSG00000151923	ENST00000369087	TIAL1
ENSG00000151923	ENST00000369086	TIAL1
ENSG00000208003	ENST00000385268	AC027808.9
ENSG00000062822	ENST00000391817	POLD1
ENSG00000062822	ENST00000262266	POLD1
ENSG00000062822	ENST00000376930	POLD1
ENSG00000136488	ENST00000316193	CSH1
ENSG00000136488	ENST00000259003	CSH1
ENSG00000136488	ENST00000329882	CSH1
ENSG00000213158	ENST00000392646	AC134503.2
ENSG00000133627	ENST00000256001	ACTR3B
ENSG00000133627	ENST00000377776	ACTR3B
ENSG00000133627	ENST00000297369	ACTR3B
ENSG00000133627	ENST00000397282	ACTR3B
ENSG00000203634	ENST00000366441	AC007687.17
ENSG00000208246	ENST00000385511	AC092180.5
ENSG00000176919	ENST00000224181	C8G
ENSG00000176919	ENST00000371634	C8G
ENSG00000196584	ENST00000359321	XRCC2
ENSG00000187048	ENST00000371904	CYP4A11
ENSG00000187048	ENST00000310638	CYP4A11
ENSG00000187048	ENST00000371905	CYP4A11
ENSG00000213187	ENST00000392786	AL138731.10
ENSG00000135116	ENST00000257572	HRK
ENSG00000148908	ENST00000369103	RGS10
ENSG00000148908	ENST00000392865	RGS10
ENSG00000148908	ENST00000369101	RGS10
ENSG00000209206	ENST00000386471	AL589947.3
ENSG00000208247	ENST00000385512	AC104843.3
ENSG00000131400	ENST00000253719	NAPSA
ENSG00000209300	ENST00000386565	AL132766.13
ENSG00000209286	ENST00000386551	AL132766.13
ENSG00000204406	ENST00000375752	MBD5
ENSG00000204406	ENST00000407073	MBD5
ENSG00000204406	ENST00000404807	MBD5
ENSG00000131398	ENST00000391818	KCNC3
ENSG00000131398	ENST00000376959	KCNC3
ENSG00000131398	ENST00000305523	KCNC3
ENSG00000184824	ENST00000360167	MFRP
ENSG00000114757	ENST00000263963	PEX5L
ENSG00000114757	ENST00000392649	PEX5L
ENSG00000114757	ENST00000263962	PEX5L
ENSG00000114757	ENST00000382596	PEX5L
ENSG00000208446	ENST00000385711	AC007687.17
ENSG00000198873	ENST00000369108	GRK5
ENSG00000198873	ENST00000392870	GRK5
ENSG00000198873	ENST00000369106	GRK5
ENSG00000198873	ENST00000369105	GRK5
ENSG00000135119	ENST00000407967	RNFT2
ENSG00000135119	ENST00000403793	RNFT2
ENSG00000135119	ENST00000257575	RNFT2
ENSG00000135119	ENST00000319176	RNFT2
ENSG00000135119	ENST00000392549	RNFT2
ENSG00000115947	ENST00000264169	ORC4L
ENSG00000115947	ENST00000392858	ORC4L
ENSG00000115947	ENST00000392857	ORC4L
ENSG00000221168	ENST00000408241	AC006547.9
ENSG00000142973	ENST00000371923	CYP4B1
ENSG00000142973	ENST00000271153	CYP4B1
ENSG00000142973	ENST00000371919	CYP4B1
ENSG00000111412	ENST00000261318	C12orf49
ENSG00000196668	ENST00000358150	AC090670.11
ENSG00000207247	ENST00000384518	AL365223.19
ENSG00000173456	ENST00000311413	RNF26
ENSG00000211339	ENST00000388604	AP002956.1
ENSG00000127191	ENST00000359662	TRAF2
ENSG00000127191	ENST00000247668	TRAF2
ENSG00000127191	ENST00000371645	TRAF2
ENSG00000211330	ENST00000388595	AP002956.1
ENSG00000203274	ENST00000366105	AL355987.31
ENSG00000197815	ENST00000354746	AP002956.1
ENSG00000218767	ENST00000407762	RP11-48L13.1
ENSG00000058056	ENST00000263966	USP13
ENSG00000213165	ENST00000392655	AC090425.15
ENSG00000208447	ENST00000385712	AC090425.15
ENSG00000121989	ENST00000402410	ACVR2A
ENSG00000121989	ENST00000241416	ACVR2A
ENSG00000121989	ENST00000404590	ACVR2A
ENSG00000208251	ENST00000385516	AC013406.7
ENSG00000136521	ENST00000259037	NDUFB5
ENSG00000136521	ENST00000359944	NDUFB5
ENSG00000142528	ENST00000270617	ZNF473
ENSG00000142528	ENST00000391821	ZNF473
ENSG00000107223	ENST00000224073	EDF1
ENSG00000107223	ENST00000371649	EDF1
ENSG00000107223	ENST00000371648	EDF1
ENSG00000076706	ENST00000264036	MCAM
ENSG00000076706	ENST00000392814	MCAM
ENSG00000165672	ENST00000298510	PRDX3
ENSG00000165672	ENST00000356951	PRDX3
ENSG00000136522	ENST00000259038	MRPL47
ENSG00000136522	ENST00000392659	MRPL47
ENSG00000135341	ENST00000369332	MAP3K7
ENSG00000135341	ENST00000369329	MAP3K7
ENSG00000135341	ENST00000369320	MAP3K7
ENSG00000135341	ENST00000369325	MAP3K7
ENSG00000135341	ENST00000369327	MAP3K7
ENSG00000209295	ENST00000386560	AL121787.22
ENSG00000142961	ENST00000271139	MOBKL2C
ENSG00000142961	ENST00000371940	MOBKL2C
ENSG00000142961	ENST00000319928	MOBKL2C
ENSG00000142961	ENST00000396291	MOBKL2C
ENSG00000177943	ENST00000317446	MAMDC4
ENSG00000177943	ENST00000392881	MAMDC4
ENSG00000110395	ENST00000264033	CBL
ENSG00000169554	ENST00000303660	ZFHX1B
ENSG00000169554	ENST00000392861	ZFHX1B
ENSG00000169554	ENST00000392860	ZFHX1B
ENSG00000123066	ENST00000281928	MED13L
ENSG00000204313	ENST00000375140	CCDC153
ENSG00000209195	ENST00000386460	AC009803.17
ENSG00000209253	ENST00000386518	AC026765.22
ENSG00000105053	ENST00000316763	VRK3
ENSG00000105053	ENST00000377011	VRK3
ENSG00000112182	ENST00000257749	BACH2
ENSG00000112182	ENST00000343122	BACH2
ENSG00000112182	ENST00000406998	BACH2
ENSG00000172367	ENST00000322712	PDZD3
ENSG00000172367	ENST00000355547	PDZD3
ENSG00000172367	ENST00000392817	PDZD3
ENSG00000135111	ENST00000257566	TBX3
ENSG00000135111	ENST00000349155	TBX3
ENSG00000135111	ENST00000361100	TBX3
ENSG00000135355	ENST00000369352	GJA10
ENSG00000209153	ENST00000386418	AL353692.14
ENSG00000213212	ENST00000392891	AL355987.31
ENSG00000121964	ENST00000344850	GTDC1
ENSG00000121964	ENST00000241391	GTDC1
ENSG00000121964	ENST00000392871	GTDC1
ENSG00000121964	ENST00000392869	GTDC1
ENSG00000121964	ENST00000392867	GTDC1
ENSG00000169136	ENST00000306139	ATF5
ENSG00000162456	ENST00000294445	KNCN
ENSG00000162456	ENST00000396314	KNCN
ENSG00000055609	ENST00000262189	MLL3
ENSG00000055609	ENST00000355193	MLL3
ENSG00000055609	ENST00000360104	MLL3
ENSG00000160703	ENST00000292199	NLRX1
ENSG00000213188	ENST00000392794	AC006017.2
ENSG00000183605	ENST00000355697	SFXN4
ENSG00000183605	ENST00000330036	SFXN4
ENSG00000183605	ENST00000369131	SFXN4
ENSG00000183605	ENST00000392875	SFXN4
ENSG00000213777	ENST00000396322	AL122001.32
ENSG00000136518	ENST00000259034	ACTL6A
ENSG00000136518	ENST00000392662	ACTL6A
ENSG00000208255	ENST00000385520	AC013437.8
ENSG00000208256	ENST00000385521	AC013437.8
ENSG00000211425	ENST00000388690	AC090669.9
ENSG00000211165	ENST00000388430	AL355598.26
ENSG00000221865	ENST00000371683	KIAA1984
ENSG00000221865	ENST00000290079	KIAA1984
ENSG00000213213	ENST00000371682	TMEM141
ENSG00000213213	ENST00000338005	TMEM141
ENSG00000208258	ENST00000385523	AC013437.8
ENSG00000208259	ENST00000385524	AC013437.8
ENSG00000207200	ENST00000384471	AP000721.5
ENSG00000208254	ENST00000385519	AC006017.2
ENSG00000208265	ENST00000385530	AC013437.8
ENSG00000208257	ENST00000385522	AC006017.2
ENSG00000208266	ENST00000385531	AC013437.8
ENSG00000208270	ENST00000385535	AC013437.8
ENSG00000177984	ENST00000316144	RP11-216L13.5
ENSG00000117480	ENST00000243167	FAAH
ENSG00000117480	ENST00000396325	FAAH
ENSG00000106648	ENST00000360643	GALNTL5
ENSG00000106648	ENST00000392800	GALNTL5
ENSG00000106648	ENST00000392797	GALNTL5
ENSG00000172273	ENST00000350777	MIZF
ENSG00000204001	ENST00000371689	LCN8
ENSG00000204001	ENST00000357788	LCN8
ENSG00000204001	ENST00000371688	LCN8
ENSG00000204001	ENST00000392896	LCN8
ENSG00000204001	ENST00000371686	LCN8
ENSG00000104951	ENST00000341114	IL4I1
ENSG00000104951	ENST00000391826	IL4I1
ENSG00000104951	ENST00000319225	IL4I1
ENSG00000117481	ENST00000307089	NSUN4
ENSG00000107581	ENST00000369144	EIF3S10
ENSG00000211126	ENST00000388391	AL157388.12
ENSG00000178029	ENST00000320667	AL356865.19
ENSG00000122965	ENST00000261741	RBM19
ENSG00000122965	ENST00000392561	RBM19
ENSG00000115919	ENST00000264170	KYNU
ENSG00000115919	ENST00000392874	KYNU
ENSG00000115919	ENST00000375773	KYNU
ENSG00000204003	ENST00000341206	LCN6
ENSG00000119973	ENST00000239032	PRLHR
ENSG00000119973	ENST00000369169	PRLHR
ENSG00000211119	ENST00000388384	AC005879.3
ENSG00000172375	ENST00000336702	C2CD2L
ENSG00000187922	ENST00000341040	LCN10
ENSG00000187922	ENST00000406721	LCN10
ENSG00000171109	ENST00000263969	MFN1
ENSG00000171109	ENST00000280653	MFN1
ENSG00000171109	ENST00000357390	MFN1
ENSG00000104946	ENST00000221543	TBC1D17
ENSG00000135094	ENST00000257549	SDS
ENSG00000106617	ENST00000287878	PRKAG2
ENSG00000106617	ENST00000392801	PRKAG2
ENSG00000165669	ENST00000369172	C10orf84
ENSG00000165669	ENST00000369183	C10orf84
ENSG00000165669	ENST00000369171	C10orf84
ENSG00000165669	ENST00000369170	C10orf84
ENSG00000172269	ENST00000354202	DPAGT1
ENSG00000172269	ENST00000392834	DPAGT1
ENSG00000107560	ENST00000369199	RAB11FIP2
ENSG00000107560	ENST00000355624	RAB11FIP2
ENSG00000106615	ENST00000262187	RHEB
ENSG00000208460	ENST00000385725	AC117456.6
ENSG00000170370	ENST00000369201	EMX2
ENSG00000127377	ENST00000337323	CRYGN
ENSG00000204673	ENST00000391835	AKT1S1
ENSG00000204673	ENST00000391834	AKT1S1
ENSG00000204673	ENST00000391833	AKT1S1
ENSG00000204673	ENST00000344175	AKT1S1
ENSG00000204673	ENST00000391832	AKT1S1
ENSG00000204673	ENST00000391831	AKT1S1
ENSG00000204673	ENST00000391830	AKT1S1
ENSG00000172667	ENST00000311417	ZMAT3
ENSG00000168702	ENST00000389484	LRP1B
ENSG00000208276	ENST00000385541	AC092156.2
ENSG00000208279	ENST00000385544	AC092156.2
ENSG00000208280	ENST00000385545	AC092156.2
ENSG00000208281	ENST00000385546	AC092156.2
ENSG00000187260	ENST00000392809	WDR86
ENSG00000187260	ENST00000341363	WDR86
ENSG00000187260	ENST00000334493	WDR86
ENSG00000208284	ENST00000385549	AC092156.2
ENSG00000208285	ENST00000385550	AC092156.2
ENSG00000208286	ENST00000385551	AC092156.2
ENSG00000208287	ENST00000385552	AC092156.2
ENSG00000208291	ENST00000385556	AC078851.4
ENSG00000203635	ENST00000366442	AC026355.13
ENSG00000200711	ENST00000363841	AL137880.13
ENSG00000208500	ENST00000385765	AC119040.5
ENSG00000216127	ENST00000401308	AC011407.6
ENSG00000165646	ENST00000298472	SLC18A2
