Name	Filename	ReadableName	Source
Druggable_RussLampel	Druggable_RussLampel.txt	Druggable (Russ and Lampel)	Russ and Lampel Review
EGFR1Pathway_CCMP	EGFR1Pathway_CCMP.txt	EGFR1 Pathway (CCMP)	Cancer Cell Map Pathway via MSKCC Cancer Genes
ERBBSignaling_KEGGhsa04012	ERBBSignaling_KEGGhsa04012.txt	ERBB Signaling Pathway (KEGG)	KEGG
EcmReceptor_KEGGhsa04512	EcmReceptor_KEGGhsa04512.txt	ECM Receptor Pathway (KEGG)	KEGG
EndometrialCancer_KEGGhsa05213	EndometrialCancer_KEGGhsa05213.txt	Endometrial Cancer Pathway (KEGG)	KEGG
ExternalSideOfPlasmaMembrane_GO0009897	ExternalSideOfPlasmaMembrane_GO0009897.txt	External Side Of Plasma Membrane (GO)	Gene Ontology
FocalAdhesion_KEGGhsa04510	FocalAdhesion_KEGGhsa04510.txt	Focal Adhesion Pathway (KEGG)	KEGG
FrameshiftMutation_SangerCGC	FrameshiftMutation_SangerCGC.txt	Frameshift Mutation (CGC)	Sanger CGC via MSKCC Cancer Genes
GProteinCoupledReceptor_GO0004930	GProteinCoupledReceptor_GO0004930.txt	GPCR (GO)	Gene Ontology
GenesOfInterest_MG	GenesOfInterest_MG.txt	Genes Of Interest (MG)	Malachi Griffith
GenomeStability_Entrez	GenomeStability_Entrez.txt	Genome Stability (Entrez)	Entrez via MSKCC Cancer Genes
GliomaCancer_KEGGhsa05214	GliomaCancer_KEGGhsa05214.txt	Glioma Cancer Pathway (KEGG)	KEGG
GrowthFactor_GO0008083	GrowthFactor_GO0008083.txt	Growth Factor (GO)	Gene Ontology
HedgehogPathway_CCMP	HedgehogPathway_CCMP.txt	Hedgehog Pathway (CCMP)	Cancer Cell Map Pathway via MSKCC Cancer Genes
HistoneModification_GO0016570	HistoneModification_GO0016570.txt	Histone Modification (GO)	Gene Ontology
HormoneActivity_GO0005179	HormoneActivity_GO0005179.txt	Hormone Activity (GO)	Gene Ontology
IDPathway_CCMP	IDPathway_CCMP.txt	ID Pathway (CCMP)	Cancer Cell Map Pathway via MSKCC Cancer Genes
Inhibitors_DrugBank	Inhibitors_DrugBank.txt	Inhibitors (DrugBank)	Drug Bank
IonChannel_GO0005216	IonChannel_GO0005216.txt	Ion Channel (GO)	Gene Ontology
JakStatSignaling_KEGGhsa04630	JakStatSignaling_KEGGhsa04630.txt	Jak Stat Signaling Pathway (KEGG)	KEGG
Kinase_GO0016301	Kinase_GO0016301.txt	Kinase (GO)	Gene Ontology
Kinase_KinBase	Kinase_KinBase.txt	Kinase (KinBase)	Kinbase
Kinase_Kincat	Kinase_Kincat.txt	Kinase (Kincat)	Kincat
Kinase_RonBose	Kinase_RonBose.txt	Kinase (Ron Bose)	Ron Bose Personal Communication
KitReceptorPathway_CCMP	KitReceptorPathway_CCMP.txt	Kit Receptor Pathway (CCMP)	Cancer Cell Map Pathway via MSKCC Cancer Genes
LargeDeletion_SangerCGC	LargeDeletion_SangerCGC.txt	Large Deletion (CGC)	Sanger CGC via MSKCC Cancer Genes
LipidKinase_GO0001727	LipidKinase_GO0001727.txt	Lipid Kinase (GO)	Gene Ontology
MAPKSignaling_KEGGhsa04010	MAPKSignaling_KEGGhsa04010.txt	MAPK Signaling Pathway (KEGG)	KEGG
MelanomaCancer_KEGGhsa05218	MelanomaCancer_KEGGhsa05218.txt	Melanoma Cancer Pathway (KEGG)	KEGG
MissenseMutation_SangerCGC	MissenseMutation_SangerCGC.txt	Missense Mutation (CGC)	Sanger CGC via MSKCC Cancer Genes
NeutralZincMetallopeptidases_GO0008237	NeutralZincMetallopeptidases_GO0008237.txt	Neutral Zinc Metallopeptidases (GO)	Gene Ontology
NonSmallCellLungCancer_KEGGhsa05223	NonSmallCellLungCancer_KEGGhsa05223.txt	Non Small Cell Lung Cancer Pathway (KEGG)	KEGG
NonsenseMutation_SangerCGC	NonsenseMutation_SangerCGC.txt	Nonsense Mutation (CGC)	Sanger CGC via MSKCC Cancer Genes
NotchPathway_CCMP	NotchPathway_CCMP.txt	Notch Pathway (CCMP)	Cancer Cell Map Pathway via MSKCC Cancer Genes
NuclearHormoneReceptor_GO0004879	NuclearHormoneReceptor_GO0004879.txt	Nuclear Hormone Receptor (GO)	Gene Ontology
Oncogene_Entrez	Oncogene_Entrez.txt	Oncogene (Entrez)	Entrez via MSKCC Cancer Genes
PPARSignaling_KEGGhsa03320	PPARSignaling_KEGGhsa03320.txt	PPAR Signaling Pathway (KEGG)	KEGG
PancreaticCancer_KEGGhsa05212	PancreaticCancer_KEGGhsa05212.txt	Pancreatic Cancer Pathway (KEGG)	KEGG
Phosphatase_Entrez	Phosphatase_Entrez.txt	Phosphatase (Entrez)	Entrez via MSKCC Cancer Genes
Phospholipase_GO0004620	Phospholipase_GO0004620.txt	Phospholipase (GO)	Gene Ontology
ProstateCancer_KEGGhsa05215	ProstateCancer_KEGGhsa05215.txt	Prostate Cancer Pathway (KEGG)	KEGG
ProteaseInhibitorActivity_GO0030414	ProteaseInhibitorActivity_GO0030414.txt	Protease Inhibitor Activity (GO)	Gene Ontology
ProteinKinase_Entrez	ProteinKinase_Entrez.txt	Protein Kinase (Entrez)	Entrez via MSKCC Cancer Genes
ProteinPhosphatase_GO0004721	ProteinPhosphatase_GO0004721.txt	Protein Phosphatase (GO)	Gene Ontology
RNADirectedDNAPolymerase_GO0003964	RNADirectedDNAPolymerase_GO0003964.txt	RNA Directed DNA Polymerase (GO)	Gene Ontology
ReceptorTyrosineKinases_RonBose	ReceptorTyrosineKinases_RonBose.txt	Receptor Tyrosine Kinases (Ron Bose)	Ron Bose Personal Communication
RegulationOfCellCycle_GO0051726	RegulationOfCellCycle_GO0051726.txt	Regulation Of Cell Cycle (GO)	Gene Ontology
RenalCellCancer_KEGGhsa05211	RenalCellCancer_KEGGhsa05211.txt	Renal Cell Cancer Pathway (KEGG)	KEGG
ResponseToDrug_GO0042493	ResponseToDrug_GO0042493.txt	Response To Drug (GO)	Gene Ontology
SerineThreonineKinase_GO0004674	SerineThreonineKinase_GO0004674.txt	Serine Threonine Kinase (GO)	Gene Ontology
SmallCellLungCancer_KEGGhsa05222	SmallCellLungCancer_KEGGhsa05222.txt	Small Cell Lung Cancer Pathway (KEGG)	KEGG
SplicingMutation_SangerCGC	SplicingMutation_SangerCGC.txt	Splicing Mutation (CGC)	Sanger CGC via MSKCC Cancer Genes
TGFBRPathway_CCMP	TGFBRPathway_CCMP.txt	TGFBR Pathway (CCMP)	Cancer Cell Map Pathway via MSKCC Cancer Genes
TGFbetaSignaling_KEGGhsa04350	TGFbetaSignaling_KEGGhsa04350.txt	TGFbeta Signaling Pathway (KEGG)	KEGG
TNFAlphaNFkBPathway_CCMP	TNFAlphaNFkBPathway_CCMP.txt	TNFAlpha NFkB Pathway (CCMP)	Cancer Cell Map Pathway via MSKCC Cancer Genes
TP53Signaling_KEGGhsa04115	TP53Signaling_KEGGhsa04115.txt	TP53 Signaling Pathway (KEGG)	KEGG
ThyroidCancer_KEGGhsa05216	ThyroidCancer_KEGGhsa05216.txt	Thyroid Cancer Pathway (KEGG)	KEGG
TranscriptionFactorBinding_GO0008134	TranscriptionFactorBinding_GO0008134.txt	Transcription Factor Binding (GO)	Gene Ontology
TranscriptionFactorComplex_GO0005667	TranscriptionFactorComplex_GO0005667.txt	Transcription Factor Complex (GO)	Gene Ontology
TranscriptionFactors_Factorbook	TranscriptionFactors_Factorbook.txt	Transcription Factors (Factorbook)	Factorbook
TranscriptionFactors_Tfcat	TranscriptionFactors_Tfcat.txt	Transcription Factors (Tfcat)	Tfcat
Translocation_SangerCGC	Translocation_SangerCGC.txt	Translocation (CGC)	Sanger CGC via MSKCC Cancer Genes
Transporter_GO0005215	Transporter_GO0005215.txt	Transporter (GO)	Gene Ontology
TumorSuppresor_Entrez	TumorSuppresor_Entrez.txt	Tumor Suppresor (Entrez)	Entrez via MSKCC Cancer Genes
TumorSuppressor_GO0051726	TumorSuppressor_GO0051726.txt	Tumor Suppressor (GO)	Gene Ontology
TyrosineKinase_Entrez	TyrosineKinase_Entrez.txt	Tyrosine Kinase (Entrez)	Entrez via MSKCC Cancer Genes
TyrosineKinase_GO0004713	TyrosineKinase_GO0004713.txt	Tyrosine Kinase (GO)	Gene Ontology
TyrosineKinase_RonBose	TyrosineKinase_RonBose.txt	Tyrosine Kinase (Ron Bose)	Ron Bose Personal Communication
VEGFSignaling_KEGGhsa04370	VEGFSignaling_KEGGhsa04370.txt	VEGF Signaling (KEGG)	KEGG
WntPathway_CCMP	WntPathway_CCMP.txt	Wnt Pathway (CCMP)	Cancer Cell Map Pathway via MSKCC Cancer Genes
WntSignaling_KEGGhsa04310	WntSignaling_KEGGhsa04310.txt	Wnt Signaling Pathway (KEGG)	KEGG
mTORSignaling_KEGGhsa04150	mTORSignaling_KEGGhsa04150.txt	mTOR Signaling Pathway (KEGG)	KEGG
LungTargetedTherapy_SantaMonica	LungTargetedTherapy_SantaMonica.txt	Lung Targeted Therapy (Santa Monica)	Santa Monica Meeting
