Name	ReadableName	Members
GProteinCoupledReceptor_GO0004930	GPCR (GO)	GProteinCoupledReceptor_GO0004930
GenesOfInterest_MG	Genes Of Interest (MG)	GenesOfInterest_MG
GenomeStability_Entrez	Genome Stability (Entrez)	GenomeStability_Entrez
GliomaCancer_KEGGhsa05214	Glioma Cancer Pathway (KEGG)	GliomaCancer_KEGGhsa05214
GrowthFactor_GO0008083	Growth Factor (GO)	GrowthFactor_GO0008083
HedgehogPathway_CCMP	Hedgehog Pathway (CCMP)	HedgehogPathway_CCMP
HistoneModification_GO0016570	Histone Modification (GO)	HistoneModification_GO0016570
HormoneActivity_GO0005179	Hormone Activity (GO)	HormoneActivity_GO0005179
IDPathway_CCMP	ID Pathway (CCMP)	IDPathway_CCMP
Inhibitors_DrugBank	Inhibitors (DrugBank)	Inhibitors_DrugBank
IonChannel_GO0005216	Ion Channel (GO)	IonChannel_GO0005216
JakStatSignaling_KEGGhsa04630	Jak Stat Signaling Pathway (KEGG)	JakStatSignaling_KEGGhsa04630
Kinase_GO0016301	Kinase (GO)	Kinase_GO0016301
Kinase_KinBase	Kinase (KinBase)	Kinase_KinBase
Kinase_Kincat	Kinase (Kincat)	Kinase_Kincat
Kinase_RonBose	Kinase (Ron Bose)	Kinase_RonBose
KitReceptorPathway_CCMP	Kit Receptor Pathway (CCMP)	KitReceptorPathway_CCMP
LargeDeletion_SangerCGC	Large Deletion (CGC)	LargeDeletion_SangerCGC
LipidKinase_GO0001727	Lipid Kinase (GO)	LipidKinase_GO0001727
MAPKSignaling_KEGGhsa04010	MAPK Signaling Pathway (KEGG)	MAPKSignaling_KEGGhsa04010
MelanomaCancer_KEGGhsa05218	Melanoma Cancer Pathway (KEGG)	MelanomaCancer_KEGGhsa05218
MissenseMutation_SangerCGC	Missense Mutation (CGC)	MissenseMutation_SangerCGC
NeutralZincMetallopeptidases_GO0008237	Neutral Zinc Metallopeptidases (GO)	NeutralZincMetallopeptidases_GO0008237
NonSmallCellLungCancer_KEGGhsa05223	Non Small Cell Lung Cancer Pathway (KEGG)	NonSmallCellLungCancer_KEGGhsa05223
NonsenseMutation_SangerCGC	Nonsense Mutation (CGC)	NonsenseMutation_SangerCGC
NotchPathway_CCMP	Notch Pathway (CCMP)	NotchPathway_CCMP
NuclearHormoneReceptor_GO0004879	Nuclear Hormone Receptor (GO)	NuclearHormoneReceptor_GO0004879
Oncogene_Entrez	Oncogene (Entrez)	Oncogene_Entrez
PPARSignaling_KEGGhsa03320	PPAR Signaling Pathway (KEGG)	PPARSignaling_KEGGhsa03320
PancreaticCancer_KEGGhsa05212	Pancreatic Cancer Pathway (KEGG)	PancreaticCancer_KEGGhsa05212
Phosphatase_Entrez	Phosphatase (Entrez)	Phosphatase_Entrez
Phospholipase_GO0004620	Phospholipase (GO)	Phospholipase_GO0004620
ProstateCancer_KEGGhsa05215	Prostate Cancer Pathway (KEGG)	ProstateCancer_KEGGhsa05215
ProteaseInhibitorActivity_GO0030414	Protease Inhibitor Activity (GO)	ProteaseInhibitorActivity_GO0030414
ProteinKinase_Entrez	Protein Kinase (Entrez)	ProteinKinase_Entrez
ProteinPhosphatase_GO0004721	Protein Phosphatase (GO)	ProteinPhosphatase_GO0004721
RNADirectedDNAPolymerase_GO0003964	RNA Directed DNA Polymerase (GO)	RNADirectedDNAPolymerase_GO0003964
ReceptorTyrosineKinases_RonBose	Receptor Tyrosine Kinases (Ron Bose)	ReceptorTyrosineKinases_RonBose
RenalCellCancer_KEGGhsa05211	Renal Cell Cancer Pathway (KEGG)	RenalCellCancer_KEGGhsa05211
SerineThreonineKinase_GO0004674	Serine Threonine Kinase (GO)	SerineThreonineKinase_GO0004674
SmallCellLungCancer_KEGGhsa05222	Small Cell Lung Cancer Pathway (KEGG)	SmallCellLungCancer_KEGGhsa05222
SplicingMutation_SangerCGC	Splicing Mutation (CGC)	SplicingMutation_SangerCGC
TGFBRPathway_CCMP	TGFBR Pathway (CCMP)	TGFBRPathway_CCMP
TGFbetaSignaling_KEGGhsa04350	TGFbeta Signaling Pathway (KEGG)	TGFbetaSignaling_KEGGhsa04350
TNFAlphaNFkBPathway_CCMP	TNFAlpha NFkB Pathway (CCMP)	TNFAlphaNFkBPathway_CCMP
TP53Signaling_KEGGhsa04115	TP53 Signaling Pathway (KEGG)	TP53Signaling_KEGGhsa04115
ThyroidCancer_KEGGhsa05216	Thyroid Cancer Pathway (KEGG)	ThyroidCancer_KEGGhsa05216
TranscriptionFactorBinding_GO0008134	Transcription Factor Binding (GO)	TranscriptionFactorBinding_GO0008134
TranscriptionFactorComplex_GO0005667	Transcription Factor Complex (GO)	TranscriptionFactorComplex_GO0005667
TranscriptionFactors_Factorbook	Transcription Factors (Factorbook)	TranscriptionFactors_Factorbook
TranscriptionFactors_Tfcat	Transcription Factors (Tfcat)	TranscriptionFactors_Tfcat
Translocation_SangerCGC	Translocation (CGC)	Translocation_SangerCGC
Transporter_GO0005215	Transporter (GO)	Transporter_GO0005215
TumorSuppresor_Entrez	Tumor Suppresor (Entrez)	TumorSuppresor_Entrez
TumorSuppressor_GO0051726	Tumor Suppressor (GO)	TumorSuppressor_GO0051726
TyrosineKinase_Entrez	Tyrosine Kinase (Entrez)	TyrosineKinase_Entrez
TyrosineKinase_GO0004713	Tyrosine Kinase (GO)	TyrosineKinase_GO0004713
TyrosineKinase_RonBose	Tyrosine Kinase (Ron Bose)	TyrosineKinase_RonBose
VEGFSignaling_KEGGhsa04370	VEGF Signaling (KEGG)	VEGFSignaling_KEGGhsa04370
WntPathway_CCMP	Wnt Pathway (CCMP)	WntPathway_CCMP
WntSignaling_KEGGhsa04310	Wnt Signaling Pathway (KEGG)	WntSignaling_KEGGhsa04310
mTORSignaling_KEGGhsa04150	mTOR Signaling Pathway (KEGG)	mTORSignaling_KEGGhsa04150
LungTargetedTherapy_SantaMonica	Lung Targeted Therapy (Santa Monica)	LungTargetedTherapy_SantaMonica
