UniProtKB	Q14728	MFSD10		GO:0015904	PMID:8353488	TAS		P	Major facilitator superfamily domain-containing protein 10	MFS10_HUMAN|MFSD10|TETRAN	protein	taxon:9606	20120317	GOC
UniProtKB	B1ALB7	NCF2		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000060733	IEA	Ensembl:ENSRNOP00000060733	P	Neutrophil cytosolic factor 2	B1ALB7_HUMAN|NCF2|RP1-127C7.5-004	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	B3KUK2	SOD2		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000025794	IEA	Ensembl:ENSRNOP00000025794	P	Superoxide dismutase	B3KUK2_HUMAN|SOD2	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	B4DI13	MLH1		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000043097	IEA	Ensembl:ENSRNOP00000043097	P	cDNA FLJ50524, highly similar to DNA mismatch repair protein Mlh1	B4DI13_HUMAN|hCG_17142|MLH1	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	B4DJE7	ACADM		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000013238	IEA	Ensembl:ENSRNOP00000013238	P	cDNA FLJ52595, highly similar to Medium-chain specific acyl-CoA dehydrogenase, mitochondrial (EC 1.3.99.3)	ACADM|B4DJE7_HUMAN	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	B4DL39	MSH2		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000021538	IEA	Ensembl:ENSRNOP00000021538	P	cDNA FLJ57316, highly similar to DNA mismatch repair protein Msh2	B4DL39_HUMAN|MSH2	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	B4DLD3	SS18		GO:0042493	GO_REF:0000019|Ensembl:ENSMUSP00000046320	IEA	Ensembl:ENSMUSP00000046320	P	Uncharacterized protein	B4DLD3_HUMAN|SS18	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	B4DLT4	RPS6KB1		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000005226	IEA	Ensembl:ENSRNOP00000005226	P	cDNA FLJ53847, highly similar to Ribosomal protein S6 kinase beta-1 (EC 2.7.11.1)	B4DLT4_HUMAN|RPS6KB1	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	B4DN45	MAT2A		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000018170	IEA	Ensembl:ENSRNOP00000018170	P	S-adenosylmethionine synthase	B4DN45_HUMAN|MAT2A	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	B4DNV3	IL6		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000013732	IEA	Ensembl:ENSRNOP00000013732	P	cDNA FLJ52006, moderately similar to Interleukin-6	B4DNV3_HUMAN|IL6	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	B4DPY6	MET		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000009662	IEA	Ensembl:ENSRNOP00000009662	P	Met proto-oncogene (hepatocyte growth factor receptor)	B4DPY6_HUMAN|MET	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	B4DR31	DPYSL2		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000012996	IEA	Ensembl:ENSRNOP00000012996	P	cDNA FLJ53166, highly similar to Dihydropyrimidinase-related protein 2	B4DR31_HUMAN|DPYSL2	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	B4DR34	SS18		GO:0042493	GO_REF:0000019|Ensembl:ENSMUSP00000046320	IEA	Ensembl:ENSMUSP00000046320	P	Uncharacterized protein	B4DR34_HUMAN|SS18	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	B4DTZ6	SLC9A1		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000011049	IEA	Ensembl:ENSRNOP00000011049	P	Sodium/hydrogen exchanger	B4DTZ6_HUMAN|SLC9A1	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	B4E2Y9	CALR		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000004091	IEA	Ensembl:ENSRNOP00000004091	P	Calreticulin	B4E2Y9_HUMAN|CALR	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	B4E2Z2	MSH2		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000021538	IEA	Ensembl:ENSRNOP00000021538	P	MutS homolog 2, colon cancer, nonpolyposis type 1 (E. coli)	B4E2Z2_HUMAN|MSH2	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	B5MC14	IL6		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000013732	IEA	Ensembl:ENSRNOP00000013732	P	Interleukin 6 (interferon, beta 2)	B5MC14_HUMAN|IL6	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	B5MD58	SREBF1		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000050057	IEA	Ensembl:ENSRNOP00000050057	P	Sterol regulatory element-binding transcription factor 1	B5MD58_HUMAN|SREBF1	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	B7Z242	MAOB		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000043466	IEA	Ensembl:ENSRNOP00000043466	P	cDNA FLJ51821, highly similar to Amine oxidase (flavin-containing) B (EC 1.4.3.4)	B7Z242_HUMAN|MAOB	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	B7Z2E6	YWHAZ		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000030885	IEA	Ensembl:ENSRNOP00000030885	P	Uncharacterized protein	B7Z2E6_HUMAN|YWHAZ	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	B7Z3U6	ATP1A1		GO:0042493	GO_REF:0000019|Ensembl:ENSMUSP00000039657	IEA	Ensembl:ENSMUSP00000039657	P	ATPase, Na+/K+ transporting, alpha 1 polypeptide, isoform CRA_a	ATP1A1|B7Z3U6_HUMAN|hCG_37943	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	B7Z3Z9	ACSL1		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000014235	IEA	Ensembl:ENSRNOP00000014235	P	Uncharacterized protein	ACSL1|B7Z3Z9_HUMAN	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	B7Z528	OXCT1		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000020798	IEA	Ensembl:ENSRNOP00000020798	P	cDNA FLJ51924, highly similar to Succinyl-CoA:3-ketoacid-coenzyme A transferase1, mitochondrial (EC 2.8.3.5)	B7Z528_HUMAN|OXCT1	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	B7Z821	MLH1		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000043097	IEA	Ensembl:ENSRNOP00000043097	P	cDNA FLJ55289, highly similar to DNA mismatch repair protein Mlh1	B7Z821_HUMAN|MLH1	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	B9EIJ4	KCNK3		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000013107	IEA	Ensembl:ENSRNOP00000013107	P	KCNK3 protein	B9EIJ4_HUMAN|KCNK3	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	C9IYM2	XPO1		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000014062	IEA	Ensembl:ENSRNOP00000014062	P	Exportin 1 (CRM1 homolog, yeast)	C9IYM2_HUMAN|XPO1	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	C9IZS4	XPO1		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000014062	IEA	Ensembl:ENSRNOP00000014062	P	Exportin 1 (CRM1 homolog, yeast)	C9IZS4_HUMAN|XPO1	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	C9J0Z4	ADORA2A		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000001759	IEA	Ensembl:ENSRNOP00000001759	P	Adenosine A2a receptor	ADORA2A|C9J0Z4_HUMAN	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	C9J276	CREB1		GO:0042493	GO_REF:0000019|Ensembl:ENSMUSP00000059973	IEA	Ensembl:ENSMUSP00000059973	P	CAMP-responsive element-binding protein 1	C9J276_HUMAN|CREB1	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	C9J3T2	ADORA2A		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000001759	IEA	Ensembl:ENSRNOP00000001759	P	Adenosine A2a receptor	ADORA2A|C9J3T2_HUMAN	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	C9J4L5	CREB1		GO:0042493	GO_REF:0000019|Ensembl:ENSMUSP00000059973	IEA	Ensembl:ENSMUSP00000059973	P	CAMP-responsive element-binding protein 1	C9J4L5_HUMAN|CREB1	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	C9J5B0	IL6		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000013732	IEA	Ensembl:ENSRNOP00000013732	P	Interleukin 6 (interferon, beta 2)	C9J5B0_HUMAN|IL6	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	C9J621	SMTNL1		GO:0042493	GO_REF:0000019|Ensembl:ENSMUSP00000028471	IEA	Ensembl:ENSMUSP00000028471	P	Smoothelin-like 1	C9J621_HUMAN|SMTNL1	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	C9J673	XPO1		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000014062	IEA	Ensembl:ENSRNOP00000014062	P	Exportin 1 (CRM1 homolog, yeast)	C9J673_HUMAN|XPO1	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	C9J6C9	GAD1		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000000008	IEA	Ensembl:ENSRNOP00000000008	P	Glutamate decarboxylase 1 (brain, 67kDa)	C9J6C9_HUMAN|GAD1	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	C9J6L5	CFTR		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000010981	IEA	Ensembl:ENSRNOP00000010981	P	Cystic fibrosis transmembrane conductance regulator (ATP-binding cassette sub-family C, member 7)	C9J6L5_HUMAN|CFTR	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	C9J809	MSH2		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000021538	IEA	Ensembl:ENSRNOP00000021538	P	MutS homolog 2, colon cancer, nonpolyposis type 1 (E. coli)	C9J809_HUMAN|MSH2	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	C9JAF2	IGF2		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000047037	IEA	Ensembl:ENSRNOP00000047037	P	Insulin-like growth factor 2 (somatomedin A)	C9JAF2_HUMAN|IGF2	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	C9JAX1	FXN		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000020412	IEA	Ensembl:ENSRNOP00000020412	P	Frataxin	C9JAX1_HUMAN|FXN	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	C9JB83	BDH1		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000002366	IEA	Ensembl:ENSRNOP00000002366	P	3-hydroxybutyrate dehydrogenase, type 1	BDH1|C9JB83_HUMAN	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	C9JCI4	CREB1		GO:0042493	GO_REF:0000019|Ensembl:ENSMUSP00000059973	IEA	Ensembl:ENSMUSP00000059973	P	CAMP-responsive element-binding protein 1	C9JCI4_HUMAN|CREB1	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	C9JEB9	BDH1		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000002366	IEA	Ensembl:ENSRNOP00000002366	P	3-hydroxybutyrate dehydrogenase, type 1	BDH1|C9JEB9_HUMAN	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	C9JF49	XPO1		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000014062	IEA	Ensembl:ENSRNOP00000014062	P	Exportin 1 (CRM1 homolog, yeast)	C9JF49_HUMAN|XPO1	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	C9JFS2	ADORA2A		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000001759	IEA	Ensembl:ENSRNOP00000001759	P	Adenosine A2a receptor	ADORA2A|C9JFS2_HUMAN	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	C9JHV9	PTK2B		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000031615	IEA	Ensembl:ENSRNOP00000031615	P	PTK2B protein tyrosine kinase 2 beta	C9JHV9_HUMAN|PTK2B	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	C9JJP8	ITGB1		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000014785	IEA	Ensembl:ENSRNOP00000014785	P	Integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)	C9JJP8_HUMAN|ITGB1	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	C9JKI3	CAV1		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000009253	IEA	Ensembl:ENSRNOP00000009253	P	Caveolin	C9JKI3_HUMAN|CAV1	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	C9JKM9	XPO1		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000014062	IEA	Ensembl:ENSRNOP00000014062	P	Exportin 1 (CRM1 homolog, yeast)	C9JKM9_HUMAN|XPO1	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	C9JKT2	ALDH3A1		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000003182	IEA	Ensembl:ENSRNOP00000003182	P	Aldehyde dehydrogenase 3 family, member A1	ALDH3A1|C9JKT2_HUMAN	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	C9JLZ7	GAD1		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000000008	IEA	Ensembl:ENSRNOP00000000008	P	Glutamate decarboxylase 1 (brain, 67kDa)	C9JLZ7_HUMAN|GAD1	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	C9JMC5	ALDH3A1		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000003182	IEA	Ensembl:ENSRNOP00000003182	P	Aldehyde dehydrogenase 3 family, member A1	ALDH3A1|C9JMC5_HUMAN	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	C9JN09	OXTR		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000007724	IEA	Ensembl:ENSRNOP00000007724	P	Oxytocin receptor	C9JN09_HUMAN|OXTR	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	C9JN45	GAD1		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000000008	IEA	Ensembl:ENSRNOP00000000008	P	Glutamate decarboxylase 1 (brain, 67kDa)	C9JN45_HUMAN|GAD1	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	C9JPK5	ITGB1		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000014785	IEA	Ensembl:ENSRNOP00000014785	P	Integrin beta	C9JPK5_HUMAN|ITGB1	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	C9JPU9	CYP11A1		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000059613	IEA	Ensembl:ENSRNOP00000059613	P	Cytochrome P450, family 11, subfamily A, polypeptide 1	C9JPU9_HUMAN|CYP11A1	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	C9JQ02	XPO1		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000014062	IEA	Ensembl:ENSRNOP00000014062	P	Exportin 1 (CRM1 homolog, yeast)	C9JQ02_HUMAN|XPO1	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	C9JQ78	POR		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000001961	IEA	Ensembl:ENSRNOP00000001961	P	P450 (cytochrome) oxidoreductase	C9JQ78_HUMAN|POR	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	C9JQ90	BDH1		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000002366	IEA	Ensembl:ENSRNOP00000002366	P	3-hydroxybutyrate dehydrogenase, type 1	BDH1|C9JQ90_HUMAN	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	C9JQC4	OXTR		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000007724	IEA	Ensembl:ENSRNOP00000007724	P	Oxytocin receptor	C9JQC4_HUMAN|OXTR	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	C9JQD8	ADORA2A		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000001759	IEA	Ensembl:ENSRNOP00000001759	P	Adenosine A2a receptor	ADORA2A|C9JQD8_HUMAN	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	C9JSC2	IL1B		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000006308	IEA	Ensembl:ENSRNOP00000006308	P	Interleukin 1, beta	C9JSC2_HUMAN|IL1B	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	C9JT43	GAD1		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000000008	IEA	Ensembl:ENSRNOP00000000008	P	Glutamate decarboxylase 1 (brain, 67kDa)	C9JT43_HUMAN|GAD1	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	C9JTA4	CPS1		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000019021	IEA	Ensembl:ENSRNOP00000019021	P	Carbamoyl-phosphate synthase 1, mitochondrial	C9JTA4_HUMAN|CPS1	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	C9JV99	XPO1		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000014062	IEA	Ensembl:ENSRNOP00000014062	P	Exportin 1 (CRM1 homolog, yeast)	C9JV99_HUMAN|XPO1	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	C9JVH3	ADCYAP1R1		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000016175	IEA	Ensembl:ENSRNOP00000016175	P	Adenylate cyclase-activating polypeptide 1 (pituitary) receptor type I	ADCYAP1R1|C9JVH3_HUMAN	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	C9JVK0	IL1B		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000006308	IEA	Ensembl:ENSRNOP00000006308	P	Interleukin 1, beta	C9JVK0_HUMAN|IL1B	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	C9JW52	IGFBP2		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000023068	IEA	Ensembl:ENSRNOP00000023068	P	Insulin-like growth factor-binding protein 2, 36kDa	C9JW52_HUMAN|IGFBP2	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	C9JWV2	IL1B		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000006308	IEA	Ensembl:ENSRNOP00000006308	P	Interleukin 1, beta	C9JWV2_HUMAN|IL1B	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	C9K028	NME1		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000003658	IEA	Ensembl:ENSRNOP00000003658	P	Non-metastatic cells 1, protein (NM23A)-expressed in	C9K028_HUMAN|NME1	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	C9K0G7	BDH1		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000002366	IEA	Ensembl:ENSRNOP00000002366	P	3-hydroxybutyrate dehydrogenase, type 1	BDH1|C9K0G7_HUMAN	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	C9K0P9	DVL3		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000002323	IEA	Ensembl:ENSRNOP00000002323	P	Dishevelled, dsh homolog 3 (Drosophila)	C9K0P9_HUMAN|DVL3	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	D3DTL2	ENO3		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000005612	IEA	Ensembl:ENSRNOP00000005612	P	Enolase 3 (Beta, muscle), isoform CRA_a	D3DTL2_HUMAN|ENO3|hCG_32693	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	D6R961	PAM		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000046774	IEA	Ensembl:ENSRNOP00000046774	P	Peptidylglycine alpha-amidating monooxygenase	D6R961_HUMAN|PAM	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	D6RA31	SNCA		GO:0042493	GO_REF:0000019|Ensembl:ENSMUSP00000126067	IEA	Ensembl:ENSMUSP00000126067	P	Synuclein, alpha (non A4 component of amyloid precursor)	D6RA31_HUMAN|SNCA	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	D6RA40	MAP1B		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000023460	IEA	Ensembl:ENSRNOP00000023460	P	Microtubule-associated protein 1B	D6RA40_HUMAN|MAP1B	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	D6RAQ2	PAM		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000046774	IEA	Ensembl:ENSRNOP00000046774	P	Peptidylglycine alpha-amidating monooxygenase	D6RAQ2_HUMAN|PAM	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	D6RAY1	SMAD1		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000025079	IEA	Ensembl:ENSRNOP00000025079	P	SMAD family member 1	D6RAY1_HUMAN|SMAD1	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	D6RBH9	SMAD1		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000025079	IEA	Ensembl:ENSRNOP00000025079	P	SMAD family member 1	D6RBH9_HUMAN|SMAD1	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	D6RBN7	CASP12		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000010244	IEA	Ensembl:ENSRNOP00000010244	P	Caspase	CASP12|D6RBN7_HUMAN	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	D6RCD5	PAM		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000046774	IEA	Ensembl:ENSRNOP00000046774	P	Peptidylglycine alpha-amidating monooxygenase	D6RCD5_HUMAN|PAM	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	D6RD62	SMAD1		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000025079	IEA	Ensembl:ENSRNOP00000025079	P	SMAD family member 1	D6RD62_HUMAN|SMAD1	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	D6RDN7	SMAD1		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000025079	IEA	Ensembl:ENSRNOP00000025079	P	SMAD family member 1	D6RDN7_HUMAN|SMAD1	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	D6RDU2	PAM		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000046774	IEA	Ensembl:ENSRNOP00000046774	P	Peptidylglycine alpha-amidating monooxygenase	D6RDU2_HUMAN|PAM	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	D6REQ3	SMAD1		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000025079	IEA	Ensembl:ENSRNOP00000025079	P	SMAD family member 1	D6REQ3_HUMAN|SMAD1	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	D6RF09	PAM		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000046774	IEA	Ensembl:ENSRNOP00000046774	P	Peptidylglycine alpha-amidating monooxygenase	D6RF09_HUMAN|PAM	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	D6RFL6	APC		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000027691	IEA	Ensembl:ENSRNOP00000027691	P	Adenomatous polyposis coli	APC|D6RFL6_HUMAN	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	D6RG20	PAM		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000046774	IEA	Ensembl:ENSRNOP00000046774	P	Peptidylglycine alpha-amidating monooxygenase	D6RG20_HUMAN|PAM	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	D6RGJ3	MAP1B		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000023460	IEA	Ensembl:ENSRNOP00000023460	P	Microtubule-associated protein 1B	D6RGJ3_HUMAN|MAP1B	protein	taxon:9606	20120317	ENSEMBL
UniProtKB	D6RIW1	HMGCS1		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000023554	IEA	Ensembl:ENSRNOP00000023554	P	3-hydroxy-3-methylglutaryl-CoA synthase 1 (soluble)	D6RIW1_HUMAN|HMGCS1	protein	taxon:9606	20120317	ENSEMBL
