UniProtKB	Q14728	MFSD10		GO:0015904	PMID:8353488	TAS		P	Major facilitator superfamily domain-containing protein 10	IPI00103940|MFS10_HUMAN|MFSD10|Q07706|TETRAN	protein	taxon:9606	20120107	GOC
UniProtKB	B4DL39	MSH2		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000021538	IEA	Ensembl:ENSRNOP00000021538	P	Uncharacterized protein	B4DL39_HUMAN|E9PBP1|IPI01018329|MSH2	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	B4DLD3	SS18		GO:0042493	GO_REF:0000019|Ensembl:ENSMUSP00000046320	IEA	Ensembl:ENSMUSP00000046320	P	cDNA FLJ58120, highly similar to SSXT protein	B4DLD3_HUMAN|IPI01011245|SS18	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	B4DLT4	RPS6KB1		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000005226	IEA	Ensembl:ENSRNOP00000005226	P	Uncharacterized protein	B4DLT4_HUMAN|E7ESB8|IPI01015773|RPS6KB1	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	B4DN45	MAT2A		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000018170	IEA	Ensembl:ENSRNOP00000018170	P	S-adenosylmethionine synthase	B4DN45_HUMAN|IPI00916229|MAT2A	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	B4DPY6	MET		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000009662	IEA	Ensembl:ENSRNOP00000009662	P	Uncharacterized protein	B4DPY6_HUMAN|IPI01009155|MET	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	B4DR31	DPYSL2		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000012996	IEA	Ensembl:ENSRNOP00000012996	P	cDNA FLJ53166, highly similar to Dihydropyrimidinase-related protein 2	B4DR31_HUMAN|DPYSL2|IPI00984387	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	B4DR34	SS18		GO:0042493	GO_REF:0000019|Ensembl:ENSMUSP00000046320	IEA	Ensembl:ENSMUSP00000046320	P	cDNA FLJ59390, highly similar to SSXT protein	B4DR34_HUMAN|IPI01015658|SS18	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	B4DTZ6	SLC9A1		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000011049	IEA	Ensembl:ENSRNOP00000011049	P	Sodium/hydrogen exchanger	B4DTZ6_HUMAN|IPI00641616|SLC9A1	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	B4E2Y9	CALR		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000004091	IEA	Ensembl:ENSRNOP00000004091	P	Uncharacterized protein	B4E2Y9_HUMAN|CALR|IPI01013746	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	B4E2Z2	MSH2		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000021538	IEA	Ensembl:ENSRNOP00000021538	P	Uncharacterized protein	B4E2Z2_HUMAN|IPI01014700|MSH2	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	B5MC21	IL6		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000013732	IEA	Ensembl:ENSRNOP00000013732	P	Uncharacterized protein	B5MC21_HUMAN|IL6|IPI00877815	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	B5MD58	SREBF1		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000050057	IEA	Ensembl:ENSRNOP00000050057	P	Uncharacterized protein	B5MD58_HUMAN|IPI01015741|SREBF1	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	B7Z242	MAOB		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000043466	IEA	Ensembl:ENSRNOP00000043466	P	Uncharacterized protein	B7Z242_HUMAN|IPI00976528|MAOB	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	B7Z2E6	YWHAZ		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000030885	IEA	Ensembl:ENSRNOP00000030885	P	Uncharacterized protein	B7Z2E6_HUMAN|IPI00981450|YWHAZ	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	B7Z3U6	ATP1A1		GO:0042493	GO_REF:0000019|Ensembl:ENSMUSP00000039657	IEA	Ensembl:ENSMUSP00000039657	P	ATPase, Na+/K+ transporting, alpha 1 polypeptide, isoform CRA_a	ATP1A1|B7Z3U6_HUMAN|hCG_37943|IPI00977640	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	B7Z3Z9	ACSL1		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000014235	IEA	Ensembl:ENSRNOP00000014235	P	Uncharacterized protein	ACSL1|B7Z3Z9_HUMAN|IPI00982418	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	B7Z528	OXCT1		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000020798	IEA	Ensembl:ENSRNOP00000020798	P	Uncharacterized protein	B7Z528_HUMAN|IPI00967390|OXCT1	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	B7Z821	MLH1		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000043097	IEA	Ensembl:ENSRNOP00000043097	P	Uncharacterized protein	B7Z821_HUMAN|IPI01012620|MLH1	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	B9EIJ4	KCNK3		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000013107	IEA	Ensembl:ENSRNOP00000013107	P	Uncharacterized protein	B9EIJ4_HUMAN|IPI01010994|KCNK3	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	C9IYM2	XPO1		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000014062	IEA	Ensembl:ENSRNOP00000014062	P	Uncharacterized protein	C9IYM2_HUMAN|IPI00894165|XPO1	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	C9IZS4	XPO1		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000014062	IEA	Ensembl:ENSRNOP00000014062	P	Uncharacterized protein	C9IZS4_HUMAN|IPI00894059|XPO1	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	C9J0Z4	ADORA2A		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000001759	IEA	Ensembl:ENSRNOP00000001759	P	Uncharacterized protein	ADORA2A|C9J0Z4_HUMAN|IPI00878800	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	C9J276	CREB1		GO:0042493	GO_REF:0000019|Ensembl:ENSMUSP00000059973	IEA	Ensembl:ENSMUSP00000059973	P	Uncharacterized protein	C9J276_HUMAN|CREB1|IPI00433048	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	C9J3T2	ADORA2A		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000001759	IEA	Ensembl:ENSRNOP00000001759	P	Uncharacterized protein	ADORA2A|C9J3T2_HUMAN|IPI00878320	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	C9J4L5	CREB1		GO:0042493	GO_REF:0000019|Ensembl:ENSMUSP00000059973	IEA	Ensembl:ENSMUSP00000059973	P	Uncharacterized protein	C9J4L5_HUMAN|CREB1|IPI00922143	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	C9J5B0	IL6		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000013732	IEA	Ensembl:ENSRNOP00000013732	P	Uncharacterized protein	C9J5B0_HUMAN|IL6|IPI00878334	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	C9J621	SMTNL1		GO:0042493	GO_REF:0000019|Ensembl:ENSMUSP00000028471	IEA	Ensembl:ENSMUSP00000028471	P	Uncharacterized protein	C9J621_HUMAN|IPI00940640|SMTNL1	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	C9J673	XPO1		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000014062	IEA	Ensembl:ENSRNOP00000014062	P	Uncharacterized protein	C9J673_HUMAN|IPI00892935|XPO1	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	C9J6C9	GAD1		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000000008	IEA	Ensembl:ENSRNOP00000000008	P	Uncharacterized protein	C9J6C9_HUMAN|GAD1|IPI00917152	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	C9J6L5	CFTR		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000010981	IEA	Ensembl:ENSRNOP00000010981	P	Uncharacterized protein	C9J6L5_HUMAN|CFTR|IPI00952586	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	C9J809	MSH2		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000021538	IEA	Ensembl:ENSRNOP00000021538	P	Uncharacterized protein	C9J809_HUMAN|IPI00783458|MSH2	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	C9JAF2	IGF2		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000047037	IEA	Ensembl:ENSRNOP00000047037	P	Uncharacterized protein	C9JAF2_HUMAN|IGF2|IPI00215977	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	C9JAX1	FXN		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000020412	IEA	Ensembl:ENSRNOP00000020412	P	Uncharacterized protein	C9JAX1_HUMAN|FXN|IPI00946824	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	C9JB83	BDH1		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000002366	IEA	Ensembl:ENSRNOP00000002366	P	Uncharacterized protein	BDH1|C9JB83_HUMAN|IPI00926064	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	C9JCI4	CREB1		GO:0042493	GO_REF:0000019|Ensembl:ENSMUSP00000059973	IEA	Ensembl:ENSMUSP00000059973	P	Uncharacterized protein	C9JCI4_HUMAN|CREB1|IPI00926065	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	C9JEB9	BDH1		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000002366	IEA	Ensembl:ENSRNOP00000002366	P	Uncharacterized protein	BDH1|C9JEB9_HUMAN|IPI00926954	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	C9JF49	XPO1		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000014062	IEA	Ensembl:ENSRNOP00000014062	P	Uncharacterized protein	C9JF49_HUMAN|IPI00892827|XPO1	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	C9JFS2	ADORA2A		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000001759	IEA	Ensembl:ENSRNOP00000001759	P	Uncharacterized protein	ADORA2A|C9JFS2_HUMAN|IPI00969437	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	C9JHV9	PTK2B		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000031615	IEA	Ensembl:ENSRNOP00000031615	P	Uncharacterized protein	C9JHV9_HUMAN|IPI00793811|PTK2B	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	C9JJP8	ITGB1		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000014785	IEA	Ensembl:ENSRNOP00000014785	P	Uncharacterized protein	C9JJP8_HUMAN|IPI00642219|ITGB1	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	C9JKI3	CAV1		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000009253	IEA	Ensembl:ENSRNOP00000009253	P	Caveolin	C9JKI3_HUMAN|CAV1|IPI00852906	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	C9JKM9	XPO1		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000014062	IEA	Ensembl:ENSRNOP00000014062	P	Uncharacterized protein	C9JKM9_HUMAN|IPI00894253|XPO1	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	C9JKT2	ALDH3A1		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000003182	IEA	Ensembl:ENSRNOP00000003182	P	Uncharacterized protein	ALDH3A1|C9JKT2_HUMAN|IPI00796823	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	C9JLZ7	GAD1		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000000008	IEA	Ensembl:ENSRNOP00000000008	P	Uncharacterized protein	C9JLZ7_HUMAN|GAD1|IPI00916246	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	C9JMC5	ALDH3A1		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000003182	IEA	Ensembl:ENSRNOP00000003182	P	Uncharacterized protein	ALDH3A1|C9JMC5_HUMAN|IPI00796116	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	C9JN09	OXTR		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000007724	IEA	Ensembl:ENSRNOP00000007724	P	Uncharacterized protein	C9JN09_HUMAN|IPI00852765|OXTR	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	C9JN45	GAD1		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000000008	IEA	Ensembl:ENSRNOP00000000008	P	Uncharacterized protein	C9JN45_HUMAN|GAD1|IPI00916132	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	C9JPK5	ITGB1		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000014785	IEA	Ensembl:ENSRNOP00000014785	P	Integrin beta	C9JPK5_HUMAN|IPI00946209|ITGB1	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	C9JQ02	XPO1		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000014062	IEA	Ensembl:ENSRNOP00000014062	P	Uncharacterized protein	C9JQ02_HUMAN|IPI00893889|XPO1	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	C9JQ78	POR		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000001961	IEA	Ensembl:ENSRNOP00000001961	P	Uncharacterized protein	C9JQ78_HUMAN|IPI00925752|POR	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	C9JQ90	BDH1		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000002366	IEA	Ensembl:ENSRNOP00000002366	P	Uncharacterized protein	BDH1|C9JQ90_HUMAN|IPI00925592	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	C9JQC4	OXTR		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000007724	IEA	Ensembl:ENSRNOP00000007724	P	Uncharacterized protein	C9JQC4_HUMAN|IPI00853643|OXTR	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	C9JQD8	ADORA2A		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000001759	IEA	Ensembl:ENSRNOP00000001759	P	Uncharacterized protein	ADORA2A|C9JQD8_HUMAN|IPI00878972	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	C9JSC2	IL1B		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000006308	IEA	Ensembl:ENSRNOP00000006308	P	Uncharacterized protein	C9JSC2_HUMAN|IL1B|IPI00916492	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	C9JT43	GAD1		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000000008	IEA	Ensembl:ENSRNOP00000000008	P	Uncharacterized protein	C9JT43_HUMAN|GAD1|IPI00916986	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	C9JTA4	CPS1		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000019021	IEA	Ensembl:ENSRNOP00000019021	P	Uncharacterized protein	C9JTA4_HUMAN|CPS1|IPI01014091	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	C9JV99	XPO1		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000014062	IEA	Ensembl:ENSRNOP00000014062	P	Uncharacterized protein	C9JV99_HUMAN|IPI00893771|XPO1	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	C9JVH3	ADCYAP1R1		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000016175	IEA	Ensembl:ENSRNOP00000016175	P	Uncharacterized protein	ADCYAP1R1|C9JVH3_HUMAN|IPI00915782	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	C9JVK0	IL1B		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000006308	IEA	Ensembl:ENSRNOP00000006308	P	Uncharacterized protein	C9JVK0_HUMAN|IL1B|IPI00916174	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	C9JW52	IGFBP2		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000023068	IEA	Ensembl:ENSRNOP00000023068	P	Uncharacterized protein	C9JW52_HUMAN|IGFBP2|IPI00926948	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	C9JWV2	IL1B		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000006308	IEA	Ensembl:ENSRNOP00000006308	P	Uncharacterized protein	C9JWV2_HUMAN|IL1B|IPI00916037	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	C9K028	NME1		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000003658	IEA	Ensembl:ENSRNOP00000003658	P	Uncharacterized protein	C9K028_HUMAN|IPI00794728|NME1	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	C9K0G7	BDH1		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000002366	IEA	Ensembl:ENSRNOP00000002366	P	Uncharacterized protein	BDH1|C9K0G7_HUMAN|IPI00925842	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	C9K0P9	DVL3		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000002323	IEA	Ensembl:ENSRNOP00000002323	P	Uncharacterized protein	C9K0P9_HUMAN|DVL3|IPI00927838	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	D3DTL2	ENO3		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000005612	IEA	Ensembl:ENSRNOP00000005612	P	Enolase	D3DTL2_HUMAN|E7ENK8|ENO3|hCG_32693|IPI00218474	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	D6R961	PAM		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000046774	IEA	Ensembl:ENSRNOP00000046774	P	Uncharacterized protein	D6R961_HUMAN|IPI00966047|PAM	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	D6RA31	SNCA		GO:0042493	GO_REF:0000019|Ensembl:ENSMUSP00000126067	IEA	Ensembl:ENSMUSP00000126067	P	Uncharacterized protein	D6RA31_HUMAN|IPI00964973|SNCA	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	D6RA40	MAP1B		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000023460	IEA	Ensembl:ENSRNOP00000023460	P	Uncharacterized protein	D6RA40_HUMAN|IPI00966431|MAP1B	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	D6RAQ2	PAM		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000046774	IEA	Ensembl:ENSRNOP00000046774	P	Uncharacterized protein	D6RAQ2_HUMAN|IPI00965752|PAM	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	D6RAY1	SMAD1		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000025079	IEA	Ensembl:ENSRNOP00000025079	P	Uncharacterized protein	D6RAY1_HUMAN|IPI00966911|SMAD1	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	D6RBH9	SMAD1		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000025079	IEA	Ensembl:ENSRNOP00000025079	P	Uncharacterized protein	D6RBH9_HUMAN|IPI00967231|SMAD1	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	D6RBN7	CASP12		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000010244	IEA	Ensembl:ENSRNOP00000010244	P	Caspase	CASP12|D6RBN7_HUMAN|IPI00432707	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	D6RCD5	PAM		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000046774	IEA	Ensembl:ENSRNOP00000046774	P	Uncharacterized protein	D6RCD5_HUMAN|IPI00967603|PAM	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	D6RD62	SMAD1		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000025079	IEA	Ensembl:ENSRNOP00000025079	P	Uncharacterized protein	D6RD62_HUMAN|IPI00964170|SMAD1	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	D6RDN7	SMAD1		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000025079	IEA	Ensembl:ENSRNOP00000025079	P	Uncharacterized protein	D6RDN7_HUMAN|IPI00964775|SMAD1	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	D6RDU2	PAM		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000046774	IEA	Ensembl:ENSRNOP00000046774	P	Uncharacterized protein	D6RDU2_HUMAN|IPI00966082|PAM	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	D6REQ3	SMAD1		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000025079	IEA	Ensembl:ENSRNOP00000025079	P	Uncharacterized protein	D6REQ3_HUMAN|IPI00967197|SMAD1	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	D6RF09	PAM		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000046774	IEA	Ensembl:ENSRNOP00000046774	P	Uncharacterized protein	D6RF09_HUMAN|IPI00966418|PAM	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	D6RFL6	APC		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000027691	IEA	Ensembl:ENSRNOP00000027691	P	Uncharacterized protein	APC|D6RFL6_HUMAN|IPI00964920	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	D6RG20	PAM		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000046774	IEA	Ensembl:ENSRNOP00000046774	P	Uncharacterized protein	D6RG20_HUMAN|IPI00966989|PAM	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	D6RGJ3	MAP1B		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000023460	IEA	Ensembl:ENSRNOP00000023460	P	Uncharacterized protein	D6RGJ3_HUMAN|IPI00965821|MAP1B	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	D6RIW1	HMGCS1		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000023554	IEA	Ensembl:ENSRNOP00000023554	P	Uncharacterized protein	D6RIW1_HUMAN|HMGCS1|IPI00963899	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	D6RJA3	PCSK1		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000015185	IEA	Ensembl:ENSRNOP00000015185	P	Uncharacterized protein	D6RJA3_HUMAN|IPI00964708|PCSK1	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	E5RFM0	FYN		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000000733	IEA	Ensembl:ENSRNOP00000000733	P	Uncharacterized protein	E5RFM0_HUMAN|FYN|IPI00977969	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	E5RFM4	FYN		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000000733	IEA	Ensembl:ENSRNOP00000000733	P	Uncharacterized protein	E5RFM4_HUMAN|FYN|IPI00982063	protein	taxon:9606	20120107	ENSEMBL
UniProtKB	E5RFM6	FYN		GO:0042493	GO_REF:0000019|Ensembl:ENSRNOP00000000733	IEA	Ensembl:ENSRNOP00000000733	P	Uncharacterized protein	E5RFM6_HUMAN|FYN|IPI00982697	protein	taxon:9606	20120107	ENSEMBL
